EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 11:05:47 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 11:07:26 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 11:11:36 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:04:09 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:14:44 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:37:40 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:42:33 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:46:46 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:47:55 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 12:48:35 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 3:56:56 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 3:57:36 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 3:59:48 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:06:36 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:11:20 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:13:25 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:14:00 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:14:33 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:17:00 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:19:38 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:27:24 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:28:37 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:33:56 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:34:30 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:35:01 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:35:38 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:37:26 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:38:07 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:39:20 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:41:58 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:43:01 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:43:33 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:45:22 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:47:10 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:47:52 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:48:47 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 4:58:48 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 5:28:43 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 5:40:27 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 5:43:55 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 5:50:54 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 6:38:39 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/15/2021 6:39:07 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 9:52:13 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 9:53:05 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 10:28:06 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 10:28:59 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 10:31:29 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 10:32:09 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:12:01 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:14:34 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:15:45 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:20:22 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:22:29 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:23:09 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:24:52 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:26:09 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/16/2021 11:27:04 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 10:41:51 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 10:52:51 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 10:54:34 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:02:11 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:08:11 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:09:11 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:10:29 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:12:07 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:15:46 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:17:58 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:19:15 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 11:25:33 AM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 12:31:36 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 12:46:44 PM
EVENT: Login  ||  USER: test  ||  TIME: 1/18/2021 7:52:00 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 7:53:08 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:21:35 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:22:13 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:23:16 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:27:16 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:29:13 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:31:01 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:35:07 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:36:12 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:36:58 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:38:13 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:38:46 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:41:32 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 8:44:19 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:02:42 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:06:33 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:09:50 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:12:10 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:13:30 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:14:13 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:16:03 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:21:23 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:22:40 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:25:04 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:26:50 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:27:23 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:28:50 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:31:21 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:33:15 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:36:16 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/18/2021 9:38:10 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 4:01:00 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 4:11:47 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 4:15:15 PM
